global_index,mean_msp,mean_entropy,mean_energy,p95_entropy,p05_msp,dice,miou
64,0.9115294218063354,0.4345241189002991,-4.274231910705566,1.1380213499069214,0.6106295585632324,0.5174726767766675,0.4454763647035421
65,0.9297400712966919,0.3822621703147888,-4.455709934234619,0.9075586199760437,0.7521352767944336,0.5771836199151095,0.5167826634254877
66,0.9216872453689575,0.40339744091033936,-4.357678413391113,1.0196291208267212,0.6769976019859314,0.6847205076243634,0.6071342104137322
67,0.928667426109314,0.38506460189819336,-4.438918590545654,0.9201146364212036,0.7414593696594238,0.710284676918446,0.6466787771871533
68,0.9168885946273804,0.4198459982872009,-4.321170330047607,1.1409724950790405,0.6206190586090088,0.6923305785489436,0.6014056685468723
69,0.9232775568962097,0.40566277503967285,-4.411102294921875,1.0315219163894653,0.6991656422615051,0.7113295212456996,0.6550583101287538
70,0.9110360145568848,0.4229697585105896,-4.406796932220459,1.1564518213272095,0.5872672200202942,0.7996942789103701,0.722869232152764
71,0.9032836556434631,0.46019160747528076,-4.285780906677246,1.2541205883026123,0.5675928592681885,0.7169869544105959,0.6143203006072333
72,0.9228123426437378,0.4035886228084564,-4.356799125671387,1.0209406614303589,0.6858622431755066,0.8565792717482423,0.7696953717933572
73,0.9013281464576721,0.4553535580635071,-4.28341007232666,1.1841785907745361,0.5565891861915588,0.6066470610664952,0.5131768058775104
74,0.927434504032135,0.3878909945487976,-4.426116943359375,0.9500890374183655,0.7243272066116333,0.7162942985001776,0.6528075452873294
75,0.9254991412162781,0.4002101719379425,-4.362465858459473,0.9515845775604248,0.7370391488075256,0.7035512537558648,0.6432215466183916
76,0.917182207107544,0.4215965270996094,-4.307701587677002,1.1126835346221924,0.6344634294509888,0.5828636197024765,0.5080448998247505
77,0.9265815019607544,0.3911592960357666,-4.432151794433594,0.9952659010887146,0.7113996744155884,0.7137190179124387,0.6189012950800646
78,0.9226298332214355,0.4042377769947052,-4.417379379272461,1.1004467010498047,0.6701051592826843,0.45820104774586123,0.4087119811878308
79,0.9246601462364197,0.3978663384914398,-4.441603660583496,0.971861720085144,0.7013759016990662,0.7892391201680209,0.7364654782588596
80,0.9216048717498779,0.4056827127933502,-4.374674320220947,1.059011697769165,0.6665153503417969,0.756161880363253,0.6827953376596868
81,0.925437331199646,0.3945308327674866,-4.363836288452148,0.9438202977180481,0.7185198068618774,0.8017792489001088,0.7247852008282512
82,0.9143357872962952,0.42597728967666626,-4.3657755851745605,1.1488951444625854,0.6152020692825317,0.6193491223035413,0.5264163492127811
83,0.9164302349090576,0.4147089719772339,-4.363734245300293,1.1148264408111572,0.6209750175476074,0.8336796223828742,0.735432639983705
84,0.9256315231323242,0.39329707622528076,-4.428075313568115,0.9656231999397278,0.7123905420303345,0.6957181980915074,0.6070125901021292
85,0.9298926591873169,0.3845825791358948,-4.426868438720703,0.8966867923736572,0.7586981654167175,0.6473044259198945,0.6056759360563388
86,0.9225773811340332,0.4019484519958496,-4.3973002433776855,1.0286250114440918,0.6757959127426147,0.7288696192501501,0.6565464317792402
87,0.9327560067176819,0.38047245144844055,-4.446462631225586,0.7905799150466919,0.8175174593925476,0.5489815925781192,0.49660407440700244
88,0.9154486656188965,0.4187223017215729,-4.354242324829102,1.1033074855804443,0.6194798946380615,0.6549539660999296,0.5633760340320995
89,0.9255422949790955,0.39043742418289185,-4.455939769744873,1.0045478343963623,0.6987960338592529,0.6399105163785147,0.5810665912487595
90,0.9390308856964111,0.36481016874313354,-4.477776527404785,0.48112502694129944,0.9181467294692993,0.975005824221451,0.953336805738541
91,0.92010098695755,0.40933889150619507,-4.412276744842529,1.0640413761138916,0.6614534258842468,0.663486443479813,0.5919130189932897
92,0.9218571186065674,0.40665534138679504,-4.405066013336182,1.043796181678772,0.6782622933387756,0.6676077795115958,0.5933970007641357
93,0.9250516891479492,0.3957097828388214,-4.422878265380859,1.011352777481079,0.6999667286872864,0.6123502441063994,0.5610715168299415
94,0.9072283506393433,0.4427068829536438,-4.30103874206543,1.2803784608840942,0.5658889412879944,0.6756046441737558,0.5924477152200552
95,0.9240552186965942,0.40011805295944214,-4.37595272064209,1.0341402292251587,0.6916718482971191,0.6054227043309371,0.5530552343751924
96,0.9253182411193848,0.40018150210380554,-4.411417007446289,0.9679867029190063,0.7169930934906006,0.7133090100012043,0.630925431110885
97,0.9226921200752258,0.40745487809181213,-4.3219380378723145,1.0380547046661377,0.6871494054794312,0.7310475771806104,0.6635721002108432
98,0.9029099941253662,0.45653584599494934,-4.275338172912598,1.218482494354248,0.5718873739242554,0.6409549304280339,0.5752235732209245
99,0.9228788614273071,0.40085136890411377,-4.389528274536133,1.0298627614974976,0.6757538318634033,0.47284587163172925,0.4315714833450959
100,0.9198793172836304,0.41514283418655396,-4.36208438873291,1.0959408283233643,0.6563855409622192,0.7006940486960532,0.6101973234612187
101,0.9053813219070435,0.45556479692459106,-4.2640485763549805,1.217374563217163,0.5933629274368286,0.7039678430468258,0.6243273703714334
102,0.9325003027915955,0.3750776946544647,-4.479199409484863,0.8481770753860474,0.787019670009613,0.8283361245227459,0.7768092940953245
103,0.9170515537261963,0.41491734981536865,-4.3372602462768555,1.0734403133392334,0.6407408118247986,0.9207778664764794,0.8574143955616594
104,0.9143190383911133,0.42411601543426514,-4.363774299621582,1.0974395275115967,0.6234037280082703,0.67631102598356,0.580814683933097
105,0.9187635183334351,0.41120389103889465,-4.33795166015625,1.084641933441162,0.6418659687042236,0.6597620779257372,0.5686070124016406
106,0.9091423749923706,0.4386526048183441,-4.29901123046875,1.1556200981140137,0.5972364544868469,0.6910253630353101,0.6112122646165925
107,0.925328254699707,0.395189106464386,-4.418176651000977,0.9483211636543274,0.7142846584320068,0.808834847372139,0.7256480163587479
108,0.9227683544158936,0.40274515748023987,-4.376782417297363,1.0393483638763428,0.678399384021759,0.5967575068909932,0.5288753445604855
109,0.9244818091392517,0.4008268415927887,-4.33836555480957,0.9511779546737671,0.711605966091156,0.7976235775765177,0.6975918552295206
110,0.930751383304596,0.3847511410713196,-4.397161483764648,0.8669219017028809,0.7808715105056763,0.7026655430279534,0.6448794769296672
111,0.9236546158790588,0.40260159969329834,-4.401180267333984,0.9829666614532471,0.7044773101806641,0.6915987601934799,0.6265902657264119
112,0.9172618389129639,0.4202829897403717,-4.309346675872803,1.0810624361038208,0.6529307961463928,0.7153364805100678,0.6148829992364063
113,0.9247311353683472,0.3956505060195923,-4.454456329345703,0.9805258512496948,0.6979862451553345,0.6962207580239068,0.6330902529730709
114,0.920737624168396,0.40705612301826477,-4.372703552246094,1.0483732223510742,0.6646783351898193,0.7432753936326186,0.6725621542386693
115,0.9298409223556519,0.3848162889480591,-4.423062324523926,0.8767943978309631,0.7668405175209045,0.8043686960663925,0.7406080474993415
116,0.9179059863090515,0.41699710488319397,-4.378411769866943,1.1006311178207397,0.6396926641464233,0.5969729716137095,0.5183825608550386
117,0.9150656461715698,0.4228244125843048,-4.346597671508789,1.1366022825241089,0.6229722499847412,0.7990600843018567,0.695408495068128
118,0.9211554527282715,0.40660709142684937,-4.396859169006348,1.039942979812622,0.6681036353111267,0.7475264635485033,0.6692414649767429
119,0.9249724745750427,0.39695799350738525,-4.4189958572387695,1.0004810094833374,0.7066486477851868,0.5014468765975061,0.4734149506465419
120,0.9104017019271851,0.43182891607284546,-4.3852128982543945,1.1074329614639282,0.5931602716445923,0.5363389684146794,0.4724646692033012
121,0.9202677607536316,0.4055027365684509,-4.3883562088012695,1.07285737991333,0.6471942067146301,0.667765301377515,0.6018188503970714
122,0.9168033599853516,0.4179684519767761,-4.327579498291016,1.0941520929336548,0.6350747346878052,0.6831572402674654,0.6001786703882083
123,0.9232622385025024,0.40129315853118896,-4.404526710510254,1.0072869062423706,0.6871979236602783,0.7432465738664434,0.6399237729584071
124,0.9139137268066406,0.42981383204460144,-4.342576026916504,1.2176129817962646,0.614284336566925,0.7789544504987697,0.690465353743231
125,0.9255209565162659,0.3945731520652771,-4.41098690032959,0.9993056058883667,0.7010471820831299,0.7138949830229002,0.6304948490147407
126,0.9128748178482056,0.43850409984588623,-4.302428245544434,1.2727302312850952,0.5947870016098022,0.7028621167409179,0.6307740714017506
127,0.9186742305755615,0.41147780418395996,-4.372320175170898,1.0964924097061157,0.6355866193771362,0.542015140247236,0.4921003942646182
128,0.9237299561500549,0.3979812264442444,-4.415092945098877,1.012209415435791,0.6916984915733337,0.6027341647381403,0.5446407061616614
129,0.9185419082641602,0.4126206636428833,-4.402579307556152,1.0679092407226562,0.6464996337890625,0.7610004997480603,0.6608438029242816
130,0.9183257818222046,0.4141763150691986,-4.348556995391846,1.0358164310455322,0.6523184180259705,0.7794741571787362,0.6771648149439322
131,0.9302316904067993,0.38519376516342163,-4.409947395324707,0.9179455637931824,0.7636392116546631,0.8255032379098695,0.7544305623829792
132,0.9203303456306458,0.4055646061897278,-4.3687849044799805,1.028220772743225,0.6647666692733765,0.8274222451163259,0.7304549429194042
133,0.9321956634521484,0.3834676146507263,-4.419930458068848,0.7025965452194214,0.8488232493400574,0.6252837627340617,0.597379201275564
